Subdivision,Circle,POLICE STATION,Accident type,Death,Grievous,Minor,Driver,Passenger,Pedestrian,Cyclist,Otherpersons,Motorised,Non Motorised,Longitude,Latitude,Trafic  Violation,AS
Kozhikode South,Town Kozhikode,Chemmangad,Minor Injury,0,0,1,1,1,0,0,0,1,0,75.725258,11.242942,Over Speeding,0.5
Kozhikode North,Med. College,Med. College,Minor Injury,0,0,1,1,0,1,0,0,1,0,75.83823,11.27119,Over Speeding,0.5
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,75.786661,11.256973,No Violation,0
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,75.786661,11.256973,Over Speeding,0
Kozhikode North,Med. College,Med. College,Non Injury,0,0,0,1,0,0,0,0,1,0,75.8096,11.270072,Over Speeding,0
Kozhikode North,Med. College,Mavoor,Non Injury,0,0,0,2,0,0,0,0,2,0,75.933571,11.264482,Driving on Wrong Side,0
Kozhikode North,Med. College,Mavoor,Non Injury,0,0,0,2,0,0,0,0,2,0,75.933571,11.264482,No Violation,0
Kozhikode North,Med. College,Mavoor,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.961975,11.292543,Over Speeding,1
Kozhikode North,Med. College,Mavoor,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.961975,11.292543,No Violation,1
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.785094,11.308906,Over Speeding,1.5
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.785094,11.308906,No Violation,1.5
Kozhikode North,Chevayur,Chevayur,Grevious Injury,0,1,0,1,1,0,0,0,1,0,75.824901,11.292489,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.7885053,11.258267,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.7885053,11.258267,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,2,0,2,1,0,0,0,2,0,75.827227,11.252949,Over Speeding,2
Kozhikode North,Med. College,Med. College,Grevious Injury,0,2,0,2,1,0,0,0,2,0,75.827227,11.252949,No Violation,2
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.997583,11.028688,No Violation,1
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.997583,11.028688,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.87169,11.26721,Over Speeding,1
Kozhikode South,Kasaba Kozhikode,Panniyankara,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.801592,11.214077,Over Speeding,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.872849,11.172694,Over Speeding,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.872849,11.172694,Over Speeding,1
Kozhikode North,Chevayur,Chevayur,Grevious Injury,0,1,0,1,1,0,0,0,1,0,75.824901,11.292489,Over Speeding,1
Kozhikode North,Chevayur,Kunnamangalam,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.9099511,11.3082573,Over Speeding,1
Kozhikode North,Chevayur,Kunnamangalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.9372435,11.3185953,Over Speeding,1
Kozhikode North,Chevayur,Kunnamangalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.9372435,11.3185953,No Violation,1
Kozhikode South,Kasaba Kozhikode,Panniyankara,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.801251,11.226167,Over Speeding,1
Kozhikode South,Kasaba Kozhikode,Panniyankara,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.801251,11.226167,No Violation,1
Kozhikode North,Chevayur,Kunnamangalam,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.9099511,11.3082573,Over Speeding,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.844348,11.183381,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.844348,11.183381,No Violation,1
Kozhikode North,Nadakkave,Nadakkave,Fatal,1,0,1,2,1,0,0,0,2,0,75.76926,11.283577,Over Speeding,2.5
Kozhikode North,Nadakkave,Nadakkave,Fatal,1,0,1,2,1,0,0,0,2,0,75.76926,11.283577,No Violation,2.5
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.844348,11.183381,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.844348,11.183381,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,1,1,0,0,0,1,0,75.865465,11.177867,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Non Injury,0,0,0,2,0,0,0,0,2,0,75.847731,11.18201,No Violation,0
Kozhikode South,Cheruvannur,Feroke,Non Injury,0,0,0,2,0,0,0,0,2,0,75.847731,11.18201,No Violation,0
Kozhikode North,Chevayur,Kunnamangalam,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.8841986,11.3214263,Over Speeding,1
Kozhikode North,Nadakkave,Nadakkave,Fatal,1,0,1,2,1,0,0,0,2,0,75.76926,11.283577,Over Speeding,2.5
Kozhikode North,Nadakkave,Nadakkave,Fatal,1,0,1,2,1,0,0,0,2,0,75.76926,11.283577,No Violation,2.5
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,76.285617,9.969823,No Violation,0
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,76.285617,9.969823,Unknown,0
Kozhikode North,Nadakkave,Nadakkave,Fatal,1,0,1,2,1,0,0,0,2,0,75.76926,11.283577,Over Speeding,2.5
Kozhikode North,Nadakkave,Nadakkave,Fatal,1,0,1,2,1,0,0,0,2,0,75.76926,11.283577,No Violation,2.5
Kozhikode North,Nadakkave,Nadakkave,Minor Injury,0,0,1,1,0,1,0,0,1,0,75.775015,11.273073,Over Speeding,0.5
Kozhikode North,Chevayur,Kunnamangalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.9372435,11.3185953,Over Speeding,1
Kozhikode North,Chevayur,Kunnamangalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.9372435,11.3185953,No Violation,1
Kozhikode North,Chevayur,Chevayur,Fatal,1,0,0,2,1,0,0,0,2,0,75.845999,11.286199,Over Speeding,2
Kozhikode North,Chevayur,Chevayur,Fatal,1,0,0,2,1,0,0,0,2,0,75.845999,11.286199,No Violation,2
Kozhikode North,Chevayur,Kunnamangalam,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.8771237,11.306353,Over Speeding,1
Kozhikode North,Chevayur,Kunnamangalam,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.8841986,11.3214263,Over Speeding,1
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,76.285617,9.969823,No Violation,0
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,76.285617,9.969823,Unknown,0
Kozhikode South,Cheruvannur,Nallalam,Minor Injury,0,0,1,1,0,1,0,0,1,0,75.842863,11.252759,Over Speeding,0.5
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.832387,11.27081,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.848855,11.270537,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.5866658,11.267943,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.5866658,11.267943,Over Speeding,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.868509,11.177185,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.868509,11.177185,No Violation,1
Kozhikode South,Cheruvannur,Nallalam,Minor Injury,0,0,1,1,0,1,0,0,1,0,75.842863,11.252759,Over Speeding,0.5
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.829082,11.20641,Over Speeding,1
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.829082,11.20641,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.868509,11.177185,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.868509,11.177185,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,1,1,0,0,0,1,0,75.865465,11.177867,No Violation,1
Kozhikode North,Chevayur,Chevayur,Fatal,1,0,0,2,1,0,0,0,2,0,75.845999,11.286199,Over Speeding,2
Kozhikode North,Chevayur,Chevayur,Fatal,1,0,0,2,1,0,0,0,2,0,75.845999,11.286199,No Violation,2
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.829082,11.20641,Over Speeding,1
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.829082,11.20641,No Violation,1
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.841025,11.240317,Over Speeding,1
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.841025,11.240317,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.838241,11.183589,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.838241,11.183589,Over Speeding,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.838241,11.183589,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.838241,11.183589,Over Speeding,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.838241,11.183589,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.838241,11.183589,Over Speeding,1
Kozhikode North,Chevayur,Chevayur,Minor Injury,0,0,2,2,1,0,0,0,2,0,75.837178,11.306258,No Violation,1
Kozhikode North,Chevayur,Chevayur,Minor Injury,0,0,2,2,1,0,0,0,2,0,75.837178,11.306258,Over Speeding,1
Kozhikode North,Chevayur,Chevayur,Minor Injury,0,0,2,2,1,0,0,0,2,0,75.837178,11.306258,No Violation,1
Kozhikode North,Chevayur,Chevayur,Minor Injury,0,0,2,2,1,0,0,0,2,0,75.837178,11.306258,Over Speeding,1
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.841025,11.240317,Over Speeding,1
Kozhikode South,Cheruvannur,Nallalam,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.841025,11.240317,No Violation,1
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.785094,11.308906,Over Speeding,1.5
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.785094,11.308906,No Violation,1.5
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.785094,11.308906,Over Speeding,1.5
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.785094,11.308906,No Violation,1.5
Kozhikode South,Cheruvannur,Feroke,Fatal,1,0,0,2,0,0,0,0,2,0,75.874154,11.17282,Over Speeding,2
Kozhikode South,Cheruvannur,Feroke,Fatal,1,0,0,2,0,0,0,0,2,0,75.874154,11.17282,No Violation,2
Kozhikode South,Cheruvannur,Feroke,Fatal,1,0,0,2,0,0,0,0,2,0,75.874154,11.17282,Over Speeding,2
Kozhikode South,Cheruvannur,Feroke,Fatal,1,0,0,2,0,0,0,0,2,0,75.874154,11.17282,No Violation,2
Kozhikode North,Med. College,Mavoor,Grevious Injury,0,1,0,1,0,0,1,0,1,0,75.932206,11.278662,Over Speeding,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.855906,11.178615,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.855906,11.178615,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.838224,11.183628,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.838224,11.183628,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Non Injury,0,0,0,2,0,0,0,0,2,0,75.847731,11.18201,No Violation,0
Kozhikode South,Cheruvannur,Feroke,Non Injury,0,0,0,2,0,0,0,0,2,0,75.847731,11.18201,No Violation,0
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.855906,11.178615,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.855906,11.178615,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.838224,11.183628,No Violation,1
Kozhikode South,Cheruvannur,Feroke,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.838224,11.183628,No Violation,1
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,1,1,0,0,0,1,0,75.80087,11.287235,Over Speeding,1
Kozhikode North,Nadakkave,Nadakkave,Minor Injury,0,0,1,2,0,0,0,0,2,0,75.80087,11.287235,Over Speeding,0.5
Kozhikode North,Nadakkave,Nadakkave,Minor Injury,0,0,1,2,0,0,0,0,2,0,75.80087,11.287235,No Violation,0.5
Kozhikode North,Nadakkave,Elathur,Fatal,1,0,0,1,1,0,0,0,1,0,75.748228,11.359195,Over Speeding,2
Kozhikode North,Nadakkave,Elathur,Fatal,1,0,0,1,0,0,0,0,1,0,75.748228,11.359195,Unknown,2
Kozhikode North,Med. College,Mavoor,Grevious Injury,0,1,0,1,0,0,1,0,1,0,75.932206,11.278662,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.832387,11.27081,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.848855,11.270537,Over Speeding,1
Kozhikode North,Med. College,Med. College,Fatal,1,0,0,2,0,0,0,0,2,0,75.5239,10.1547,Over Speeding,2
Kozhikode North,Med. College,Med. College,Fatal,1,0,0,2,0,0,0,0,2,0,75.5239,10.1547,No Violation,2
Kozhikode North,Med. College,Med. College,Minor Injury,0,0,1,2,0,0,0,0,2,0,75.83294,11.271222,No Violation,0.5
Kozhikode North,Med. College,Med. College,Minor Injury,0,0,1,2,0,0,0,0,2,0,75.83294,11.271222,Over Speeding,0.5
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,2,2,2,0,0,0,2,0,75.74236,11.329704,Over Speeding,2
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,2,2,2,0,0,0,2,0,75.74236,11.329704,No Violation,2
Kozhikode North,Nadakkave,Elathur,Fatal,1,0,0,1,1,0,0,0,1,0,75.748228,11.359195,Over Speeding,2
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,1,1,0,0,0,1,0,75.80087,11.287235,Over Speeding,1
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,2,2,2,0,0,0,2,0,75.74236,11.329704,Over Speeding,2
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,2,2,2,0,0,0,2,0,75.74236,11.329704,No Violation,2
Kozhikode North,Nadakkave,Nadakkave,Minor Injury,0,0,1,2,0,0,0,0,2,0,75.80087,11.287235,Over Speeding,0.5
Kozhikode North,Nadakkave,Nadakkave,Minor Injury,0,0,1,2,0,0,0,0,2,0,75.80087,11.287235,No Violation,0.5
Kozhikode North,Nadakkave,Nadakkave,Minor Injury,0,0,1,1,0,1,0,0,1,0,75.772661,11.275393,Over Speeding,0.5
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.808249,11.260391,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.808249,11.260391,No Violation,1
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.779577,11.315548,Over Speeding,1
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.779577,11.315548,No Violation,1
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.779577,11.315548,Over Speeding,1
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.779577,11.315548,No Violation,1
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,2,2,2,0,0,0,2,0,75.74236,11.329704,Over Speeding,2
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,2,2,2,0,0,0,2,0,75.74236,11.329704,No Violation,2
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,2,2,2,0,0,0,2,0,75.74236,11.329704,Over Speeding,2
Kozhikode North,Nadakkave,Elathur,Grevious Injury,0,1,2,2,2,0,0,0,2,0,75.74236,11.329704,No Violation,2
Kozhikode North,Med. College,Med. College,Non Injury,0,0,0,1,0,0,0,0,1,0,75.824225,11.261253,Over Speeding,0
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.808249,11.260391,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.808249,11.260391,No Violation,1
Kozhikode North,Nadakkave,Nadakkave,Minor Injury,0,0,1,1,0,1,0,0,1,0,75.772661,11.275393,Over Speeding,0.5
Kozhikode North,Nadakkave,Nadakkave,Fatal,1,0,0,1,0,0,0,0,1,0,75.776792,11.267209,Over Speeding,2
Kozhikode North,Nadakkave,Elathur,Minor Injury,0,0,3,2,2,0,0,0,2,0,75.763654,11.297255,No Violation,1.5
Kozhikode North,Nadakkave,Elathur,Minor Injury,0,0,3,2,2,0,0,0,2,0,75.763654,11.297255,Over Speeding,1.5
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.801844,11.258384,Over Speeding,1
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.784275,11.279477,Over Speeding,1
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.784275,11.279477,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.827359,11.252738,Over Speeding,1
Kozhikode North,Nadakkave,Elathur,Minor Injury,0,0,3,2,2,0,0,0,2,0,75.763654,11.297255,No Violation,1.5
Kozhikode North,Nadakkave,Elathur,Minor Injury,0,0,3,2,2,0,0,0,2,0,75.763654,11.297255,Over Speeding,1.5
Kozhikode South,Town Kozhikode,Chemmangad,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.775128,11.238331,Unknown,1.5
Kozhikode South,Town Kozhikode,Chemmangad,Grevious Injury,0,1,1,2,1,0,0,0,2,0,75.775128,11.238331,No Violation,1.5
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.827359,11.252738,Over Speeding,1
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.784275,11.279477,Over Speeding,1
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.784275,11.279477,No Violation,1
Kozhikode North,Nadakkave,Elathur,Minor Injury,0,0,3,2,2,0,0,0,2,0,75.763654,11.297255,No Violation,1.5
Kozhikode North,Nadakkave,Elathur,Minor Injury,0,0,3,2,2,0,0,0,2,0,75.763654,11.297255,Over Speeding,1.5
Kozhikode South,Cheruvannur,Beypore,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.8030248,11.1967153,Over Speeding,1
Kozhikode South,Town Kozhikode,Town Kozhikode,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.784742,11.24577,No Violation,1
Kozhikode South,Town Kozhikode,Town Kozhikode,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.784742,11.24577,Driving on Wrong Side,1
Kozhikode North,Med. College,Med. College,Fatal,1,0,0,2,0,0,0,0,2,0,75.5231,11.1611,Unknown,2
Kozhikode North,Med. College,Med. College,Fatal,1,0,0,2,0,0,0,0,2,0,75.5231,11.1611,No Violation,2
Kozhikode South,Cheruvannur,Beypore,Grevious Injury,0,1,0,1,0,1,0,0,1,0,75.8030248,11.1967153,Over Speeding,1
Kozhikode North,Med. College,Mavoor,Grevious Injury,0,1,0,1,1,0,0,0,1,0,75.971697,11.279924,Over Speeding,1
Kozhikode North,Chevayur,Chevayur,Fatal,1,0,0,2,0,0,0,0,2,0,75.831421,11.296166,Over Speeding,2
Kozhikode North,Chevayur,Chevayur,Fatal,1,0,0,2,0,0,0,0,2,0,75.831421,11.296166,No Violation,2
Kozhikode North,Med. College,Mavoor,Grevious Injury,0,1,0,1,1,0,0,0,1,0,75.971697,11.279924,Over Speeding,1
Kozhikode North,Chevayur,Chevayur,Minor Injury,0,0,1,2,0,0,0,0,2,0,75.8216034,11.2747646,Over Speeding,0.5
Kozhikode North,Chevayur,Chevayur,Minor Injury,0,0,1,2,0,0,0,0,2,0,75.8216034,11.2747646,No Violation,0.5
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.5866658,11.267943,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.5866658,11.267943,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.837504,11.270452,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.837504,11.270452,Over Speeding,1
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,75.788318,11.247627,Unknown,0
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,75.788318,11.247627,No Violation,0
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,75.788318,11.247627,Unknown,0
Kozhikode South,Kasaba Kozhikode,Kasaba Kozhikode,Non Injury,0,0,0,2,0,0,0,0,2,0,75.788318,11.247627,No Violation,0
Kozhikode North,Med. College,Med. College,Fatal,1,0,0,2,0,0,0,0,2,0,75.5231,11.1611,Unknown,2
Kozhikode North,Med. College,Med. College,Fatal,1,0,0,2,0,0,0,0,2,0,75.5231,11.1611,No Violation,2
Kozhikode North,Med. College,Med. College,Grevious Injury,0,2,0,2,1,0,0,0,2,0,75.827227,11.252949,Over Speeding,2
Kozhikode North,Med. College,Med. College,Grevious Injury,0,2,0,2,1,0,0,0,2,0,75.827227,11.252949,No Violation,2
Kozhikode North,Chevayur,Chevayur,Grevious Injury,0,1,0,1,1,0,0,0,1,0,75.785947,11.307698,Over Speeding,1
Kozhikode South,Town Kozhikode,Town Kozhikode,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.784742,11.24577,No Violation,1
Kozhikode South,Town Kozhikode,Town Kozhikode,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.784742,11.24577,Driving on Wrong Side,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.837504,11.270452,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.837504,11.270452,Over Speeding,1
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.797791,11.28725,Over Speeding,1
Kozhikode North,Nadakkave,Nadakkave,Grevious Injury,0,1,0,2,1,0,0,0,2,0,75.797791,11.28725,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.849284,11.282407,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.849284,11.282407,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.849284,11.282407,No Violation,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,1,0,2,0,0,0,0,2,0,75.849284,11.282407,Over Speeding,1
Kozhikode North,Med. College,Med. College,Grevious Injury,0,2,0,2,1,0,0,0,2,0,75.827227,11.252949,Over Speeding,2
Kozhikode North,Med. College,Med. College,Grevious Injury,0,2,0,2,1,0,0,0,2,0,75.827227,11.252949,No Violation,2
